,URLS
349,https://olympics.com/en/olympic-games/albertville-1992/results/short-track-speed-skating
350,https://olympics.com/en/olympic-games/albertville-1992/results/ski-jumping
351,https://olympics.com/en/olympic-games/albertville-1992/results/speed-skating
352,https://olympics.com/en/olympic-games/barcelona-1992/results/archery
353,https://olympics.com/en/olympic-games/barcelona-1992/results/athletics
354,https://olympics.com/en/olympic-games/barcelona-1992/results/badminton
355,https://olympics.com/en/olympic-games/barcelona-1992/results/basketball
356,https://olympics.com/en/olympic-games/barcelona-1992/results/boxing
357,https://olympics.com/en/olympic-games/barcelona-1992/results/canoe-slalom
358,https://olympics.com/en/olympic-games/barcelona-1992/results/cycling-road
359,https://olympics.com/en/olympic-games/barcelona-1992/results/cycling-track
360,https://olympics.com/en/olympic-games/barcelona-1992/results/diving
361,https://olympics.com/en/olympic-games/barcelona-1992/results/fencing
362,https://olympics.com/en/olympic-games/barcelona-1992/results/football
363,https://olympics.com/en/olympic-games/barcelona-1992/results/handball
364,https://olympics.com/en/olympic-games/barcelona-1992/results/hockey
365,https://olympics.com/en/olympic-games/barcelona-1992/results/judo
366,https://olympics.com/en/olympic-games/barcelona-1992/results/modern-pentathlon
367,https://olympics.com/en/olympic-games/barcelona-1992/results/rowing
368,https://olympics.com/en/olympic-games/barcelona-1992/results/sailing
369,https://olympics.com/en/olympic-games/barcelona-1992/results/shooting
370,https://olympics.com/en/olympic-games/barcelona-1992/results/swimming
371,https://olympics.com/en/olympic-games/barcelona-1992/results/table-tennis
372,https://olympics.com/en/olympic-games/barcelona-1992/results/tennis
373,https://olympics.com/en/olympic-games/barcelona-1992/results/volleyball
374,https://olympics.com/en/olympic-games/barcelona-1992/results/water-polo
375,https://olympics.com/en/olympic-games/barcelona-1992/results/weightlifting
376,https://olympics.com/en/olympic-games/barcelona-1992/results/wrestling
377,https://olympics.com/en/olympic-games/calgary-1988/results/alpine-skiing
378,https://olympics.com/en/olympic-games/calgary-1988/results/biathlon
379,https://olympics.com/en/olympic-games/calgary-1988/results/bobsleigh
380,https://olympics.com/en/olympic-games/calgary-1988/results/cross-country-skiing
381,https://olympics.com/en/olympic-games/calgary-1988/results/figure-skating
382,https://olympics.com/en/olympic-games/calgary-1988/results/ice-hockey
